,ndcg_score
0,0.3295923783775967
1,0.3207154135318264
2,0.33129598981426844
3,0.33169571636687134
4,0.32738461952871756
5,0.33326306073968964
6,0.33332524546441483
7,0.33991908399551246
8,0.3356334462007953
9,0.33466377724421154
10,0.33372255052177874
11,0.33201529551939357
12,0.33316511322373027
13,0.3348872776809729
14,0.33994782665054263
15,0.3291358792028457
16,0.32959461908789156
17,0.3323500313887401
18,0.3257605818143257
19,0.3197180530094122
20,0.3325452485416964
21,0.32500554156613554
22,0.32988884319630263
23,0.3249478427034919
24,0.331787346303199
25,0.3349774344483911
26,0.32929089281628476
27,0.3371960233407127
28,0.34165177238067307
29,0.3339756382747162
30,0.32415764218623433
31,0.3286431748263951
32,0.3290744595210204
33,0.3318013341668073
34,0.3374283701133887
35,0.3402434471233675
36,0.3379925977109432
37,0.341278404164148
38,0.32963099587977984
39,0.33404577801845325
40,0.33427753406108013
41,0.3334136452312026
42,0.3420466095063094
43,0.343577082504078
44,0.3299847517962095
45,0.3325949644267826
46,0.33098693355605835
47,0.33892842714881083
48,0.32929319120748385
49,0.3357155285625544
50,0.3313536997084035
51,0.33701646582406786
52,0.32456834170436566
53,0.334210285105762
54,0.33634442938216796
55,0.3401094886430789
56,0.3333347183936916
57,0.32036644286289545
58,0.3355225292000438
59,0.32098523710738897
60,0.3415218630123106
61,0.3237196078254621
62,0.3268927717519713
63,0.3242824867698834
64,0.3351660242310672
65,0.3348390345318857
66,0.3302636824917728
67,0.32504040052689914
68,0.33677065266591094
69,0.3323077926872656
70,0.33258057525908047
71,0.32875724838481984
72,0.34135244589299496
73,0.3403894961843986
74,0.33793120894841017
75,0.3368947166113542
76,0.3276801525509478
77,0.3360227533846943
78,0.3248336926636912
79,0.3316715171711701
