,ndcg_score
0,0.24130167022060553
1,0.2501712268492191
2,0.2551180914910606
3,0.2559055150239459
4,0.25133096123143767
5,0.2566216759574661
6,0.25360021613061096
7,0.25746337197778507
8,0.25785205287615115
9,0.25643421572240305
10,0.2549100313040357
11,0.2550357303154415
12,0.25259051430826546
13,0.2548524832001239
14,0.2584111905063051
15,0.2546050468544425
16,0.262842015022631
17,0.2535782792189067
18,0.2549307354817058
19,0.2554565757144376
20,0.2631873738260092
21,0.26504026105116874
22,0.2613228751343572
23,0.26569515384223663
24,0.2635603908090664
25,0.25833673346844527
26,0.25500020619024866
27,0.2626208945458947
28,0.25881291943628165
29,0.26087392247620744
30,0.25744220506753634
31,0.2595012472217386
32,0.2622532705481282
33,0.25973823068475704
34,0.25425762746644603
35,0.26300597107608015
36,0.2690223303128803
37,0.2652289742328321
38,0.2674056882653692
39,0.2603791235788102
40,0.2671961986161596
41,0.2647020628696439
42,0.2573734629275377
43,0.26582512961207355
44,0.2626856947833451
45,0.2672828620531945
46,0.26773566392438736
47,0.26251399825653304
48,0.2696285949076025
49,0.26412563189376065
50,0.26395378309466383
51,0.26108830842382824
52,0.2636163562995738
53,0.26329132963860347
54,0.2632786743817453
55,0.26561443318338873
56,0.2689864004201872
57,0.2659657126525401
58,0.27212472166923796
59,0.26475615567637706
60,0.26731819453515393
61,0.2713573074766186
62,0.2690257304980722
63,0.26613682705827085
64,0.2684020941905348
65,0.2649316939732149
66,0.2684856915672917
67,0.2677901489106027
68,0.2665466308374111
69,0.272817637763211
70,0.27138308628893926
71,0.2694804733761625
72,0.2715035395075133
73,0.2764582312415814
74,0.26767680587595793
75,0.27059121819889664
76,0.2751769532354394
77,0.2749313439198643
78,0.27519556843531534
79,0.26974047844613214
80,0.2653397960267069
81,0.27825294459309435
82,0.2456724839682769
83,0.2730130247422995
84,0.2709055588654453
85,0.276538099061208
86,0.28139356308791286
87,0.2860619568864965
88,0.2819671737786173
89,0.27705214703015424
90,0.27958837800703173
91,0.27480659637113924
92,0.2754248102243198
93,0.2786527266054299
94,0.27622050727904895
95,0.27987550544546635
96,0.28263473097043745
97,0.2744370893111339
98,0.2790487435314565
99,0.2801025968696648
100,0.28456224666862895
101,0.27856076454055684
102,0.27816515233026684
103,0.28157894308764025
104,0.2829944211297859
105,0.27946412248960584
106,0.27862184510899435
107,0.28545666707243506
108,0.28259845091428626
109,0.28515037927528497
110,0.290083165351737
111,0.2857900606961367
112,0.28357876569319534
113,0.28603135859253026
114,0.2881843176437933
115,0.28955738529024905
116,0.29005246645447097
117,0.2843612105098942
118,0.28974603671456595
119,0.28594400785577084
120,0.28598984148064427
121,0.2876608489677627
122,0.2867646419470479
123,0.2877234320238093
124,0.2894358393779929
125,0.29185876196483124
126,0.2912031169330437
127,0.286411472959602
128,0.2899471125589543
129,0.2862745202140435
130,0.28417889283473213
131,0.28473782818382215
132,0.2873226360633446
133,0.2885363221436152
134,0.29006647145883097
135,0.2911731826047692
136,0.2874595542152716
137,0.2812360177641291
138,0.2845423235938517
139,0.2909449130719033
140,0.28762609160673674
141,0.28614626416601574
142,0.29028597996272143
143,0.2958981681332796
144,0.2905772007258154
145,0.29176405080164725
146,0.2979118902049702
147,0.293050437863355
148,0.29193585027463353
149,0.2911548228321625
150,0.2924853767050371
151,0.29349308434031984
152,0.29532010735943676
153,0.2968010721358739
154,0.2926478234352226
155,0.2968681901606031
156,0.2994193010659043
157,0.29624557910447163
158,0.2916931056562522
159,0.2894503244503772
160,0.2940884057510767
161,0.2860807148554067
162,0.29399665553204285
163,0.29755014821054254
164,0.2920149465060377
165,0.29744011438486334
166,0.3049997818798456
167,0.2965473983684691
168,0.30025895547797793
169,0.298757509295178
170,0.29560099582404176
171,0.2971623549417052
172,0.3025292899836265
173,0.3034001835507714
174,0.2965365826631155
175,0.2997811157603051
176,0.29627073932382564
177,0.2951276072592335
178,0.29848305022906685
179,0.2976246019232591
180,0.29317443217422884
181,0.29539508715363133
182,0.2974932485467513
183,0.30135028695668764
184,0.29528627888269104
185,0.29251561792893804
186,0.29319838925068875
187,0.29320084353611553
188,0.30148438336457906
189,0.2910784149246971
190,0.2999523195909088
191,0.29430796725499087
192,0.292196519285208
193,0.29159012831323
194,0.3030420719345765
195,0.30657079017575567
196,0.3001134915401465
197,0.30102642680662545
198,0.30432163968782944
199,0.2997145828934868
