,ndcg_score
0,0.1412556947672691
1,0.12644217084132447
2,0.1267972206412304
3,0.12364357438779787
4,0.1268221042092577
5,0.12503864852203686
6,0.1330839806612406
7,0.14106498935983922
8,0.14976100460095607
9,0.1475623541279471
10,0.1513245327289839
11,0.15586548128850372
12,0.15657810773612338
13,0.15737570292018963
14,0.15820394459452836
15,0.1599186793817583
16,0.1583254624851285
17,0.15679647881107273
18,0.15652307757224637
19,0.15694630908410132
20,0.15790195276623528
21,0.15325096577941996
22,0.15921223385332953
23,0.15844114883304544
24,0.16246818618328523
25,0.1655186227414613
26,0.16629264241018152
27,0.17065796463014418
28,0.16961557189839058
29,0.17182051151916913
30,0.17272771066998335
31,0.17372247625937343
32,0.17388447511690366
33,0.17472358194217966
34,0.17653482643453394
35,0.1737629697005341
36,0.17970877461467122
37,0.18028488357791722
38,0.1743648268258786
39,0.1775215656301282
40,0.18164883191447603
41,0.1807090934481845
42,0.17765157938653386
43,0.1820262099277593
44,0.18162699995798112
45,0.18445807202027323
46,0.1858956678986641
47,0.18367638031885491
48,0.18132055519800833
49,0.18756605345244626
50,0.18280657612237408
51,0.1852136104769317
52,0.1798101955759513
53,0.18043913124829522
54,0.18439226783440615
55,0.18341867633955303
56,0.18549700482055298
57,0.18105754598579604
58,0.18068209972988147
59,0.18800840737019214
60,0.18796216322981407
61,0.18495604759260195
62,0.1863728677208108
63,0.18732566732637787
64,0.19030677271996574
65,0.1913454900689793
66,0.1938592289250162
67,0.19393929521546416
68,0.19234759640758517
69,0.1925906707872284
70,0.19454599258949232
71,0.19192142176893598
72,0.1976378925297161
73,0.19718476076871222
74,0.20009489402822994
75,0.1992109986425504
76,0.1975580191118329
77,0.1967332708165041
78,0.1985447999540849
79,0.20258865479753782
80,0.20159200622757997
81,0.19767755887533808
82,0.1963153801197406
83,0.1977490636540848
84,0.20412194718266452
85,0.19836504172203273
86,0.20374397081640863
87,0.2001020563684796
88,0.19865205529727853
89,0.19970807308656996
90,0.2013268557440428
91,0.19971768785326757
92,0.20024575792403704
93,0.20397823114111366
94,0.1972742726444139
95,0.2054491192849385
96,0.21244727373003036
97,0.2065067925061083
98,0.20452076475485123
99,0.20268197177022348
100,0.20218904269581842
101,0.20402687022687271
102,0.21058027693435857
103,0.2053401066541809
104,0.2087913443286083
105,0.20766080858798774
106,0.21238062632533977
107,0.20603403474299425
108,0.20675958413639123
109,0.2052535846519247
110,0.20705759643396954
111,0.21154479489924502
112,0.20997353579617375
113,0.20829930972117836
114,0.21161554041319133
115,0.2100276031247915
116,0.21047479372404176
117,0.21788171137001455
118,0.21668467125690596
119,0.21575795680995657
120,0.21943215630147678
121,0.2177068795829351
122,0.21617558626966496
123,0.21658701134648944
124,0.21667171074471853
125,0.21606730328113966
126,0.2184912216315523
127,0.219789310043557
128,0.2084988064068733
129,0.21110863881554742
130,0.21761695716495996
131,0.21889015188248537
132,0.22172207700453336
133,0.22202101527660825
134,0.20866075499108894
135,0.21458976655424777
136,0.21975247634108833
137,0.21928626202217832
138,0.2136797868170345
139,0.2120200637107768
140,0.2127176803121611
141,0.2140727304827407
142,0.21790521788745368
143,0.21570283776015944
144,0.21754553761637363
145,0.21914285006920708
146,0.21579449228096265
147,0.21999734416350306
148,0.21840534222860158
149,0.22057766076372906
150,0.22027217995686638
151,0.22263345700935483
152,0.22396549691541032
153,0.2221721927122961
154,0.21912398999117488
155,0.22405954315864787
156,0.22020831804566887
157,0.22006438094948302
158,0.2217858399132289
159,0.22280213596448784
160,0.22620632822314204
161,0.22737184698595322
162,0.22660609852336774
163,0.2251401797259853
164,0.23181561577128448
165,0.23023419442126114
166,0.23048581739388424
167,0.23078697439053625
168,0.23374584674130883
169,0.23152114573635396
170,0.22689930791771443
171,0.23162638734506996
172,0.23282308415072223
173,0.23665050356754172
174,0.23238572700911436
175,0.23318573616396676
176,0.23166447350894684
177,0.2322038255889509
178,0.23184448284653356
179,0.2333418087423
180,0.23335612801271843
181,0.23331349948802566
182,0.23078406309270305
183,0.23986580693645987
184,0.23765370934710917
185,0.23369933199898038
186,0.23437210399024158
187,0.23278627145101594
188,0.24016834097148076
189,0.2388792369758192
190,0.23483732267968285
191,0.2397661491678498
192,0.2279410106689915
193,0.23905025585482736
194,0.23971389640753427
195,0.23864456794492112
196,0.24302995929307555
197,0.24340366830394025
198,0.24216489609061786
199,0.2390544489232879
